 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,,,,,,,,,,,
Periode 01-30 januari 2026,,,,,,,,,,,,,,,,
Tanggal,No.Bukti,Keterangan,, Jumlah ,,Saldo,,,,,,,RINCIAN KAS BON,,,
,,,, Penerimaan , Pengeluaran ,,,,,,Tanggal,No.Bukti,,,,
,,Bi untuk pembelian Konsumsi Kantor tgl 05/01/2026 - 14 karyawan kantor @10.000                ,Konsumsi Kantor,,"130,000","1,554,620",,,,,,,bu april belanja,,,"50,000"
,,Bi pembelian konsumsi untuk ke ST.Lawang tgl 05/01/2026 ,IKR Lawang,,52900,"1,501,720",,,,,28-Jan-26,,PAK BUDI JAMU,,,"150,000"
6-Jan-26,5,Bi pembelian material tgl 06/01/2026- 1pcs steker @ 5.000,Material,,"5,000","1,496,720",,,,,,,"bu april empek""",,,"10,000"
,,Bi pembelian material tgl 06/01/2026- kabel+tangga@ 50.000,Material,,"50,000","1,446,720",,,,,,,BU APRIL JAJAN,,,"20,000"
,,Bi pembelian material tgl 06/01/2026- 2pcs isolasi @ 10.000,Material,,"10,000","1,436,720",,,,,,,RIDWAN CASHBONE,,,"100,000"
,,Bi pembelian material tgl 06/01/2026- 20pcs isolasi nasional @ 6.000,Material,,"120,000","1,316,720",,,,,29-Jan-26,,BU APRIL PAKET XL,,,"40,000"
,,Bi pembelian material tgl 06/01/2026- 7pcs masko G @ 6.000,Material,,"42,000","1,274,720",,,,,,,rokok pak budi,,,"23,000"
,,Bi pembelian material tgl 06/01/2026- 6pcs netlink A-B @ 85.000,Material,,"510,000","764,720",,,,,30-Jan-26,,rokok pak budi,,,"46,000"
,,Bi pembelian material tgl 06/01/2026- 5pcs 2F4E PCB @ 65.000,Material,,"325,000","439,720",,,,,,,pak budi,,,"150,000"
,,Bi pembelian material tgl 06/01/2026- 5pcs adaptor 9v @ 25.000,Material,,"125,000","314,720",,,,,,,bu april  berobat,,,"125,000"
,,Bi pembelian material tgl 06/01/2026- 3pcs Rj45 vascolink @ 43.000,Material,,"129,000","185,720",,,,,,,pak budi badminton                                  ,,,"110,000"
,,Bi pembelian material tgl 06/01/2026- 1pcs zimm link UPT @ 370.000,Material,,"370,000","-184,280",,,,,,,bu april jajan                                                 ,,,"5,000"
,,diskon pembelian,diskon,9000,,"-175,280",,,,,31-Jan-26,,rokok pak budi,,,"46,000"
,,"Bi BBM N4559 EGM km 398999 tgl 06/01/2026 ltr 2.0 maintance arjosari, karangploso",Transportasi,,"20,000","-195,280",,,,,,,pak budi cod,,,"24,000"
,,Bi BBM N 2109 km 423547 tgl 06/01/2026 ltr 3.0 maintance lawang,Transportasi,,"30,000","-225,280",,,,,,,,,,
,,Bi BBM N 2113 EFD km 465037 tgl 06/01/2026 ltr 3.0 singosari,Transportasi,,"30,000","-255,280",,,,,,,,,,
,,Bi BBM N 1195 FV tgl 06/01/2026 ltr 5.0 ,Transportasi,,"50,000","-305,280",,,,,,,,,,"4,931,617"
,,Bi parkir N 2113 Bank Mandiri Lawang tgl 06/01/2026,Transportasi,,"2,000","-307,280",,,,,,,,,,"4,897,500"
