,,,,,,
,,,,,,
Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,
Periode 01-30 Februari 2026,,,,,,
Tanggal,No.Bukti,Keterangan,, Jumlah ,,Saldo
,,,, Penerimaan , Pengeluaran ,
11-Feb,11,dana Masuk Operasional,dana masuk,407000,,"1,809,817"
,,Bi untuk pembelian rumah tangga tgl 11/02/2026 - 2pcs mm l.nps @ 8.200,Rumah Tangga,,"16,400","1,793,417"
,,Bi untuk pembelian rumah tangga tgl 07/02/2026 - 1pcs kp branding@ 200,Rumah Tangga,,200,"1,793,217"
,,diskon pembelian,diskon,,"-4,600","1,797,817"
,,"Bi BBM N 2109 EFD km 442230 tgl 10/02/2026 ltr 2.0 maintance lawang, bedali",Transportasi,,"20,000","1,777,817"
,,Bi BBM M 5687 CP  km 466830 tgl 10/02/2026 ltr 2.1 pasuruan,Transportasi,,"25,000","1,752,817"
,,Bi BBM M 5687 CP km 467198 tgl 11/02/2026 ltr 2.1 pasuruan,Transportasi,,"25,000","1,727,817"
,,"Bi BBM N 2113 EFD km 483636 tgl 11/02/2026 ltr 3.0 maintance bumiayu,arjosari ",Transportasi,,30000,"1,697,817"
,,"Bi BBM N 6840 E km 688761 tgl 11/02/2026 ltr 2.0 maintance bumiayu,arjosari ",Transportasi,,20000,"1,677,817"
,,Bi BBM N 2109 EFD km 443128 tgl 11/02/2026 ltr 1.5 maintance kertosari,Transportasi,,15000,"1,662,817"
,,Bi BBM N 2418YBI km 0 tgl 11/02/2026 ltr 1.5 IKR Lawang,IKR Lawang,,15000,"1,647,817"
,,Bi pembelian material tgl 11/02/2026- 3pcs solasi national @ 7.000,Material,,21000,"1,626,817"
,,Bi pembelian material tgl 11/02/2026- 1pack kabel tic @ 20.000,Material,,20000,"1,606,817"
12-Feb,12,dana Masuk Operasional,dana masuk,555000,,"2,161,817"
,,Bi pembelian material tgl 12/02/2026- 5pcs solasi national @ 7.000,Material,,35000,"2,126,817"
,,Bi pembelian material tgl 12/02/2026- 5pcs adaptor 12Vs @ 15.000,Material,,75000,"2,051,817"
,,Bi pembelian material tgl 12/02/2026- 20pcs patch core @ 8.000,Material,,160000,"1,891,817"
,,Bi untuk pembelian Konsumsi karyawan Kantor tgl 12/02/2026            ,Konsumsi Kantor,,37500,"1,854,317"
,,Bi BBM  P 2616 UC km 6017 tgl 10/02/2026 ltr 2.0 ,Transportasi,,20000,"1,834,317"
,,Bi BBM N 2110 EFD km 406266 tgl 11/02/2026 ltr 2.0 gadang sukun,Transportasi,,20000,"1,814,317"
,,"Bi BBM N 2114 EFD km 377526 tgl 12/02/2026 ltr 2.0 maintance lawang, bedali",Transportasi,,20000,"1,794,317"
,,Bi BBM N 3222KK  km 182761 tgl 12/02/2026 ltr 1.5 maintance gajahan,Transportasi,,15000,"1,779,317"
,,Bi untuk pembayaran Gemini pro (programer) tgl 12/02/2026,lain-lain,,60000,"1,719,317"
13 Feb,13,dana Masuk Operasional,dana masuk,1000000,,"2,719,317"
,,Bi untuk pembelian rumah tangga tgl 13/02/2026 - 1pcs idm ktg plstk@ 200,Rumah Tangga,,200,"2,719,117"
,,Bi untuk pembelian rumah tangga tgl 13/02/2026 - 3pcs lwk kopi @ 10.200,Rumah Tangga,,30600,"2,688,517"
,,Bi untuk pembelian rumah tangga tgl 13/02/2026 - 1pcs pikopi 3ini@ 11.800,Rumah Tangga,,11800,"2,676,717"
,,Bi untuk pembelian rumah tangga tgl 13/02/2026 - 1pcs stella bali @ 13.600,Rumah Tangga,,13600,"2,663,117"
,,Bi untuk pembelian rumah tangga tgl 13/02/2026 - 1pcs neo/c crml @ 10.800,Rumah Tangga,,10800,"2,652,317"
