,,,,,,
,,,,,,
Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,
Periode 01-30 Juni 2026,,,,,,
Tanggal,No.Bukti,Keterangan,, Jumlah ,,Saldo
,,,, Penerimaan , Pengeluaran ,
,,Bi pembelian material tgl  10/06/2026- 1pcs bardi smart plug wifi @ 215.000,Material,,"215,000","2,220,065"
,,Bi pembelian material tgl  10/06/2026- 2pcs baterai @ 3.000,Material,,"6,000","2,214,065"
,,Bi untuk amplop pak rt dan rw bedali tgl 10/06/2026,amplop,,"300,000","1,914,065"
,,Bi untuk perawatan service  janset tgl 10/06/2026,perawatan alat,,"150,000","1,764,065"
11-juni,9,dana masuk operasional,dana masuk,600000,,"2,364,065"
,,dana masuk operasional,dana masuk,4000000,,"6,364,065"
,,"Bi BBM N 3346 ABF km 725583 tgl 10/06/2026 ltr 1.5 maintance bedali ,srigading",transportasi,,"15,000","6,349,065"
,,Bi BBM M 3024 km 8705 tgl 10/06/2026 ltr 2.5 mangliawan,transportasi,,"25,000","6,324,065"
,,"Bi BBM N 2113 EFD km 4213211 tgl 10/06/2026 ltr 2.0 maintance srigading,lawang,songsong,kunci",transportasi,,"20,000","6,304,065"
,,"Bi BBM N 6840 GE km 3623723 tgl 11/06/2026 ltr 2.5 maintance srigading,lawang,songsong,",transportasi,,"25,000","6,279,065"
,,Bi BBM N 4235 FM tgl 11/06/2026 ltr 1.5 singosari,transportasi,,"15,000","6,264,065"
,,Bi parkir N 4064 EDL Bank Mandiri Singosari tgl 11/06/2026,transportasi,,"2,000","6,262,065"
,,Bi untuk pembayaran fee sales pemasangan baru (baim) tgl 11/06/2026,fee sales,,"50,000","6,212,065"
,,Bi pembelian material tgl  11/06/2026- 2pcs modem gm220+adaptor @ 90.000,Material,,"180,000","6,032,065"
,,Bi pembelian material tgl  11/06/2026- 4pcs adaptor 5v @ 15.000,Material,,"60,000","5,972,065"
,,Bi pembelian material tgl  11/06/2026- 1pcs HIT LILY @ 37.900,Material,,"37,900","5,934,165"
,,diskon pembelian,diskon,,"-1,000","5,935,165"
,,Bi untuk konsumsi kantor tgl 11/06/2026,konsumsi kantor,,"112,500","5,822,665"
,,Bi untuk sangu pembangunan tim dafa bedali tgl 11/06/2026,sangu,,"50,000","5,772,665"
12-juni,10,Bi pembelian material tgl  12/06/2026- 1pcs HIT LILY @ 19.200,Material,,"19,200","5,753,465"
,,diskon pembelian,diskon,,"-1,000","5,754,465"
