,,,,,,,,,,,
Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,,,,,,
Periode 01-30 April 2026,,,,,,,,,,,
Tanggal,No.Bukti,Keterangan,kategori, Penerimaan , Pengeluaran ,Saldo,,,,,
7-April,5,Bi pembelian material tgl 07/04/2026- 1kg avian SB @ 84.000,Material,,"84,000","463,000",,,,,
7-April,5,Bi pembelian material tgl 07/04/2026- 1pcs kuas @ 10.000,Material,,"10,000","453,000",,,,,
7-April,5,Bi pembelian material tgl 07/04/2026- 1pcs tinir @ 10.000,Material,,"10,000","443,000",,,,,
8-April,6,Dana Masuk Operasional,dana masuk,2000000,,"2,443,000",,,,,
8-April,6,Bi untuk pembelian listrik server randuagung idpel 5130010486945 tgl 08/03/2026,Listrik Server,,"204,500","2,238,500",,,,,
8-April,6,diskon pembelian,diskon,4500,,"2,243,000",,,,,
8-April,6,Bi untuk konsumsi kantor tgl 08/04/2026,konsumsi kantor,,"90,000","2,153,000",,,,,
8-April,6,Bi untuk konsumsi tarik kabel ODC randutelu tgl 08/04/2026,konsumsi,,"50,000","2,103,000",,,,,
8-April,6,"Bi BBM N 6840 GE km 689231tgl 08/04/2026 ltr 1.5 maintace bedali,slb",transportasi,,"15,000","2,088,000",,,,,
8-April,6,"Bi BBM N 3346 ABF km 702352 tgl 08/04/2026 ltr 2.0 maintace singosari,arjosari",transportasi,,"20,000","2,068,000",,,,,
8-April,6,"Bi BBM N 2113 EFD km 510073 tgl 08/04/2026 ltr 2.0 maintace lawang,malang",transportasi,,"20,000","2,048,000",,,,,
8-April,6,Bi pembelian material tgl 08/04/2026- 1pcs  box odp tarmoc 16 port @ 270.000,Material,,"270,000","1,778,000",,,,,
8-April,6,Bi untuk pembelian rumah tangga tgl 08/04/2026- 1pcs idm ktg plstk @ 300,Rumah Tangga,,300,"1,777,700",,,,,
8-April,6,Bi untuk pembelian rumah tangga tgl 08/04/2026- 2pcs lwk kopi murni @ 10.500,Rumah Tangga,,"21,000","1,756,700",,,,,
8-April,6,Bi untuk pembelian rumah tangga tgl 08/04/2026- 1pcs neo/c transo @ 10.800,Rumah Tangga,,"10,800","1,745,900",,,,,
8-April,6,Bi untuk pembelian rumah tangga tgl 08/04/2026- 1pcs coff gl aren@ 13.500,Rumah Tangga,,"13,500","1,732,400",,,,,
8-April,6,Bi untuk pembelian rumah tangga tgl 08/04/2026- 1pcs coff mkcno @ 13.500,Rumah Tangga,,"13,500","1,718,900",,,,,
8-April,6,Bi untuk pembelian rumah tangga tgl 08/04/2026- 1pcs rose/b gula 1kg @ 17.500,Rumah Tangga,,"17,500","1,701,400",,,,,
8-April,6,diskon pembelian,diskon,4400,,"1,705,800",,,,,
9-Apr-26,7,Bi untuk konsumsi tarik kabel ODC randutelu tgl 09/04/2026,konsumsi,,"14,000","1,691,800",,,,,
9-Apr-26,7,Bi untuk konsumsi kantor tgl 09/04/2026,konsumsi kantor,,"100,000","1,591,800",,,,,
9-Apr-26,7,Bi BBM N 2114 EFD km 399141 tgl 09/04/2026 ltr 3.5 tarik kabel randutelu,transportasi,,"35,780","1,556,020",,,,,
9-Apr-26,7,Bi BBM N 3346 ABF km 703208 tgl 09/04/2026 ltr 2.0 maintance purwodadi,transportasi,,"20,000","1,536,020",,,,,
9-Apr-26,7,"Bi BBM N 2113 EFD km 513078 tgl 09/04/2026 ltr 2.0 maintance lawang,malang",transportasi,,"20,000","1,516,020",,,,,
9-Apr-26,7,"Bi BBM N 2668 GM km 501469 tgl 09/04/2026 ltr 2.0 maintance bedali,martopuro",transportasi,,"20,000","1,496,020",,,,,
9-Apr-26,7,Bi untuk pembayaran sewa mobil dan bbm tgl 09/04/2026,lain-lain,,"150,000","1,346,020",,,,,
10-Apr-26,8,Dana Masuk Operasional,dana masuk,2000000,,"3,346,020",,,,,
10-Apr-26,8,Bi BBM P 2616 UC km 8316 tgl 10/04/2026 ltr 4.0 CSR sekolahan singosari,transportasi,,"40,000","3,306,020",,,,,
10-Apr-26,8,Bi BBM N 2113 EFD km 503076 tgl 10/04/2026 ltr 1.0 malang,transportasi,,"10,000","3,296,020",,,,,
10-Apr-26,8,Bi BBM L 1793 ACP  tgl 10/04/2026 ltr 10.0,transportasi,,"100,000","3,196,020",,,,,
10-Apr-26,8,"Bi BBM N 3346 ABF km 703208 tgl 10/04/2026 ltr 2.0 maintace bedali,martopuro",transportasi,,"20,000","3,176,020",,,,,
10-Apr-26,8,"Bi BBM N 6840 GE km 543562 tgl 10/04/2026 ltr 2.0 maintace bedali,gondang,suko",transportasi,,"15,000","3,161,020",,,,,
10-Apr-26,8,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 09/04/2026              ,Listrik Kantor,,"53,000","3,108,020",,,,,
10-Apr-26,8,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 10/04/2026              ,Listrik Kantor,,"204,500","2,903,520",,,,,
10-Apr-26,8,Bi pembelian material tgl 10/04/2026- 1pcs  isolasi  nasional @ 6.500,Material,,"6,500","2,897,020",,,,,
10-Apr-26,8,Bi untuk pembelian rumah tangga tgl 10/04/2026- 6pcs oxy @ 12.000,Rumah Tangga,,"72,000","2,825,020",,,,,
10-Apr-26,8,Bi untuk pembelian rumah tangga tgl 10/04/2026- 1pcs otc @ 8.000,Rumah Tangga,,"8,000","2,817,020",,,,,
10-Apr-26,8,Bi untuk pembelian rumah tangga tgl 10/04/2026- 1pcs paten @ 8.000,Rumah Tangga,,"8,000","2,809,020",,,,,
10-Apr-26,8,Bi untuk pembelian rumah tangga tgl 10/04/2026- 1pcs genetik @ 6.000,Rumah Tangga,,"6,000","2,803,020",,,,,
10-Apr-26,8,Bi untuk konsumsi jenguk karyawan (tiwi) tgl 10/04/2026,konsumsi jenguk,,"220,000","2,583,020",,,,,
10-Apr-26,8,Bi untuk konsumsi kantor tgl 10/04/2026,konsumsi kantor,,"175,000","2,408,020",,,,,
11-Apr-26,9,Bi pembelian material tgl 10/04/2026- 3pcs kleam 6m @ 6.000,Material,,"18,000","2,390,020",,,,,
11-Apr-26,9,Bi BBM N 2668 GM km 501429  tgl 10/04/2026 ltr 2.0 maintance arjosari,transportasi,,"20,000","2,370,020",,,,,
11-Apr-26,9,Bi BBM M 5687 km 489139 tgl 11/04/2026 ltr 2.5 mangliawan  ,transportasi,,"25,000","2,345,020",,,,,
11-Apr-26,9,Bi untuk konsumsi kantor tgl 11/04/2026,konsumsi kantor,,"110,000","2,235,020",,,,,
13-Apr-26,10,dana Masuk Operasional,dana masuk,2000000,,"4,235,020",,,,,
13-Apr-26,10,Bi BBM N 2113 EFD km 515369 tgl 12/04/2026 ltr 2.0  ,transportasi,,"20,000","4,215,020",,,,,
13-Apr-26,10,"Bi BBM N 3346 ABF km 704880 tgl 12/04/2026 ltr 2.0 maintance suko, lawang,",transportasi,,"20,000","4,195,020",,,,,
13-Apr-26,10,Bi BBM N 1124 IC tgl 13/04/2026 ltr 20.0 ,transportasi,,"200,000","3,995,020",,,,,
13-Apr-26,10,Bi BBM N 2113 EFD km 515364 tgl 13/04/2026 ltr 2.0 maintance tutur ,transportasi,,"20,000","3,975,020",,,,,
13-Apr-26,10,"Bi BBM N 2114 EFD km 40088 tgl 13/04/2026 ltr 1.5 maintance lawang,yonkav ",transportasi,,"15,000","3,960,020",,,,,
13-Apr-26,10,"Bi untuk konsumsi mantaince tarik kabel ODP,ODC Randugembolo tgl 12/04/2026",konsumsi,,"90,000","3,870,020",,,,,
13-Apr-26,10,Bi untuk konsumsi maintance ngadipuro tgl 13/04/2026,konsumsi,,"30,000","3,840,020",,,,,
13-Apr-26,10,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 13/04/2026              ,Listrik Kantor,,"204,500","3,635,520",,,,,
13-Apr-26,10,Bi pembelian ATK tgl 11/04/2026- 2pcs materai @ 11.700,ATK,,"23,400","3,612,120",,,,,
13-Apr-26,10,Bi pembelian material tgl 13/04/2026- 2pcs philips 12v @ 60.000,Material,,"150,000","3,462,120",,,,,
13-Apr-26,10,Bi pembelian material tgl 13/04/2026- 1pcs isolasi nasional @ 9.000,Material,,"9,000","3,453,120",,,,,
13-Apr-26,10,Bi pembelian material tgl 13/04/2026- 1pcs kleam  6m @ 6.000,Material,,"6,000","3,447,120",,,,,
13-Apr-26,10,Bi pembelian material tgl 13/04/2026- 1pcs htb trondol @ 90.000,Material,,"90,000","3,357,120",,,,,
13-Apr-26,10,Bi untuk jasa tarik BB yonkav tgl 12/04/2026,lain-lain,,50000,"3,307,120",,,,,
13-Apr-26,10,Bi untuk amplop karyawan tiwi tgl 13/06/2026,lain-lain,,1000000,"2,307,120",,,,,
14-Apr-26,11,dana Masuk Operasional,dana masuk,2300000,,"4,607,120",,,,,
14-Apr-26,11,Bi BBM N 2109 EFD tgl 11/04/2026 ltr 1.5 maintance lawang  ,transportasi,,"15,000","4,592,120",,,,,
14-Apr-26,11,"Bi BBM N 2110 EFD km 985621 tgl 09/04/2026 ltr 1.5 maintace randutelu,alamhijau ",transportasi,,15000,"4,577,120",,,,,
14-Apr-26,11,Bi BBM N 6840 GE km 5826321 tgl 14/04/2026 ltr 1.5 tarik bb yonkav,transportasi,,15000,"4,562,120",,,,,
14-Apr-26,11,Bi BBM P 2616 km  83416 tgl 14/04/2026 ltr 1.5 CSR sekolahan lawang,transportasi,,"15,000","4,547,120",,,,,
14-Apr-26,11,Bi BBM N 2114 EFD km 400961 tgl 14/04/2026 ltr 1.0 tarik bb randugembolo,transportasi,,"10,000","4,537,120",,,,,
14-Apr-26,11,Bi BBM N 2113 EFD km 505374 tgl 14/04/2026 ltr 2.0 maintance ngadipuro,transportasi,,"20,000","4,517,120",,,,,
14-Apr-26,11,Bi BBM N 2668 GM km 501409  tgl 14/04/2026 ltr 1.5 tarik bb yonkav,transportasi,,"15,000","4,502,120",,,,,
14-Apr-26,11,Bi BBM N 2109 EFD km 481314 tgl 14/04/2026 ltr 2.0 ,transportasi,,"20,000","4,482,120",,,,,
14-Apr-26,11,Bi BBM N 2114 EFD km 251736 tgl 14/04/2026 ltr 1.0 sinngosari,transportasi,,"10,000","4,472,120",,,,,
14-Apr-26,11,Bi parkir N 2113 EFD Bank Mandiri Singosari tgl 14/04/2026,transportasi,,"2,000","4,470,120",,,,,
14-Apr-26,11,Bi operasional pak bara tgl 14/04/2026,transportasi,,"50,000","4,420,120",,,,,
